prévisions météo de la station de Polytech. L'échéance correspond au nombre d'heures avant la prediction.
echeance (heures),echeance (date/heure),temperature2m,temperaturesol,pressionniveau_de_la_mer,pluie,humidite2m,nebulositetotale,cape,iso_zero,risque_neige,vent_moyen10m,vent_rafales10m,vent_direction10m
159,2023-10-21 17:00:00 UTC,293.6,294.2,99280,0,47.2,0,0,2812,0,44.7,46.4,266
162,2023-10-21 20:00:00 UTC,290.9,291.5,99470,0,52.2,0,0,2833.6,0,40.1,45.4,273
165,2023-10-21 23:00:00 UTC,289.4,289.8,99690,0,56.5,42,0,2889.8,0,30.3,37.2,281
168,2023-10-22 02:00:00 UTC,288.1,288.4,99890,0,60.3,71,0,2824.8,0,26.8,34,284
171,2023-10-22 05:00:00 UTC,287.7,287.9,99990,0,60.4,100,0,2812.2,0,20.6,23.2,284
174,2023-10-22 08:00:00 UTC,287.4,287.5,100180,0,57.4,70.9,0,2695,0,15.9,16.3,290
177,2023-10-22 11:00:00 UTC,290.2,289.9,100440,0,46.3,6.8,0,2634.9,0,14.2,15,266
180,2023-10-22 14:00:00 UTC,293.8,293.6,100440,0,38.9,4,0,2654.4,0,23.7,24.2,247
183,2023-10-22 17:00:00 UTC,294.3,294.4,100510,0,42.1,9.1,0,2645.8,0,33.1,36.8,259
186,2023-10-22 20:00:00 UTC,291,290.8,100730,0,51.4,49.7,0,2602.9,0,27.4,33.2,267
189,2023-10-22 23:00:00 UTC,289.8,289.5,100960,0,55.2,100,0,2512.5,0,22.6,27.9,271
192,2023-10-23 02:00:00 UTC,288.4,288,101000,0,60.5,63.1,0,2545.8,0,23.1,28.3,266
